Growth over next 10 years,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0.03246110233097,0.064932741893585,0.097414922108328,0.129907646396845,0.162410918181834,0.19492474088716,0.227449117937724,0.259984052759592,0.292529548779982,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.325085609427106,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.32508560942712,0.33885172926631,0.352619738025453,0.366389635963714,0.38016142334034,0.393935100414595,0.407710667445755,0.421488124693155,0.435267472416172,0.449048710874209,0.4628318403267,0.4628318403267,0.4628318403267,0.4628318403267,0.4628318403267,0.4628318403267,0.4628318403267,0.4628318403267,0.4628318403267,0.4628318403267,0.4628318403267,0.4628318403267,0.4628318403267,0.4628318403267,0.4628318403267,0.4628318403267,0.4628318403267,0.4628318403267,0.4628318403267,0.4628318403267,0.4628318403267,0.4628318403267,0.4628318403267,0.4628318403267,0.4628318403267,0.4628318403267,0.4628318403267,0.462831840326714,0.54083868180426,0.659559194869558,1.03626750294043,1.02068072768802,0.987105201745095,1.19296276818734,0.94859800731075,1.25158243548145,1.28185650647094,1.37923735993324,1.12318754008275,0.907039645505961,0.441256148319582,0.372753997539533,0.347353134533805,-0.041326507833119,0.185374776480856,-0.054977182516623,-0.219480981100787,-0.412673245554217,-1.02153071089347,-1.41245938525765,-0.554680268552715,-0.247184376841204,0.014445302370802,0.384101936483233,-0.615730468878297,-0.214920220722874,-0.346148882147915,-0.278071204023092,1.48819181361151,2.82822291095756,2.34550527399659,1.87970337756687,1.28714815073137,1.75592588910534,0.812786690723954,-0.712565015833874,-0.736250936553901,-1.32118978554659,-2.37211891211923,-4.01289010930989,-5.77565164999476,-6.63750878844796,-4.58064225840781,-4.98954108571726,-2.89612195068993,-1.63029356571961,-1.12604184117026,-0.662009477474754,-1.68763149670671,1.13238334355501,3.45803974806725,4.86445906423727,3.80076872946388,3.69183295670976,4.4680406952376,4.18951225465152,5.5799580583187,6.22650745074114,7.8025865101748
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,0.103857756498144,0.103857756498144,0.103857756498144,0.103857756498144,0.103857756498144,0.103857756498144,0.103857756498144,0.103857756498144,0.103857756498144,0.103857756498144,0.10385775649813,0.114749875347428,0.125643179348359,0.136537668629913,0.147433343321055,0.158330203550733,0.169228249447983,0.180127481141824,0.191027898761249,0.201929502435291,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293029,0.212832292293058,0.338266515140575,0.463857741277039,0.589606167219998,0.715511989733059,0.841575405826106,0.967796612755521,1.09417580802476,1.2207131893843,1.3474089548323,1.47426330261464,1.47426330261464,1.47426330261464,1.47426330261464,1.47426330261464,1.47426330261464,1.47426330261464,1.47426330261464,1.47426330261464,1.47426330261464,1.47426330261464,1.46393260368163,1.45360295647679,1.44327436089301,1.43294681682329,1.42262032416056,1.41229488279772,1.40197049262783,1.39164715354383,1.3813248654387,1.37100362820546,1.36503982605439,1.35907637476235,1.35311327430878,1.347150524673,1.34118812583435,1.33522607777223,1.32926438046597,1.32330303389494,1.31734203803853,1.3113813928761,1.30832852452411,1.3052757481658,1.30222306379839,1.25466027468681,1.20711981695987,1.1596016801327,1.11210585372528,1.06463232726259,1.01718109027451,0.969752132295795,0.925386679839462,0.881040721274388,0.836714248035136,0.836714248035136,0.836714248035136,0.836714248035136,0.836714248035136,0.836714248035136,0.836714248035136,0.790105068460107,0.743517432780422,0.696951331037994,0.650406753279299,0.60388368955546,0.557382129922132,0.51090206443962,0.464443483172801,0.418006376191158,0.371590733568738,0.371590733568738,0.371590733568738,0.371590733568738,0.371590733568738,0.371590733568738,0.371590733568738,0.371590733568738,0.371590733568766,0.371590733568738,0.371590733568738,0.371590733568723,0.759240389970927,0.738015902885692,1.10061671691699,1.35591673252777,1.85173900729185,1.9158893663254,2.51292186539381,2.92748349097114,3.30521480105411,3.77819010686606,3.42611677868282,3.74682681622325,3.68357601618001,3.73280496069881,3.55997252023279,3.83790107145518,3.57685694239285,3.48767896070059,3.41585797897568,3.27983581699934,3.59967872698397,3.66023745462533,3.81654582189945,3.50602718037025,3.17167210338529,2.83369775544662,2.49918328695138,2.18333983596082,1.89217862553515,1.59518790150663,1.25194190570508,0.919135272880098,0.488252007178389,0.507908333115708,0.525414879699397,0.548933700670489,0.568125051180871,0.585421154833369,0.612075508525621,0.630757122998801,-2.80252328474947,-3.67294749037382,-2.91562806980785,-2.27174243834534,-1.15985297771491,-0.399944391697801,-1.56583324937725,-0.482997195196461,0.35638779363066,0.928531950660101,5.11662280406478,6.30802722168457,5.97843306690142,5.77085823779162,5.03371682016898,4.7028988335333,6.43625120836324,5.91007876181271,5.24703788691934,4.86537786528167,4.44440270136235
Algeria,-0.002464578361995,-0.002464578361995,-0.002464578361995,-0.002464578361995,-0.002464578361995,-0.002464578361995,-0.002464578362009,-0.002464578361995,-0.002464578361995,-0.002464578361995,-0.002464578362009,0.099416328203432,0.201401034518341,0.303489646337425,0.405682269523155,0.507979010045886,0.610379973983939,0.71288526752366,0.815494996959615,0.918209268694653,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.0210281892401,1.02102818924006,1.03275471676243,1.04448260550089,1.05621185561343,1.06794246725809,1.07967444059291,1.09140777577596,1.10314247296532,1.11487853231908,1.12661595399541,1.13835473815243,1.13835473815243,1.13835473815243,1.13835473815243,1.13835473815243,1.13835473815243,1.13835473815243,1.13835473815243,1.13835473815243,1.13835473815243,1.13835473815243,1.13835473815243,1.13835473815243,1.13835473815243,1.13835473815243,1.13835473815243,1.13835473815243,1.13835473815243,1.13835473815243,1.13835473815243,1.13835473815243,1.13835473815243,1.13835473815243,1.13835473815243,1.13835473815243,1.13835473815243,1.13835473815244,1.13835473815243,1.13835473815243,1.13835473815243,1.13835473815243,1.13835473815244,1.13835473815243,1.13835473815243,1.06753833398268,0.996771514988708,0.926054246451358,0.855386493675695,0.784768221991101,0.714199396751212,0.643679983334039,0.57320994714172,0.502789253600639,0.432417868161366,0.432417868161366,0.432417868161366,0.432417868161366,0.432417868161366,0.432417868161366,0.432417868161366,0.432417868161366,0.432417868161366,0.432417868161366,0.432417868161366,0.432417868161366,0.432417868161366,0.432417868161366,0.432417868161366,0.432417868161366,0.432417868161366,0.432417868161394,0.432417868161366,0.432417868161366,0.432417868161366,0.432417868161366,0.432417868161366,0.432417868161366,0.432417868161366,0.432417868161366,0.432417868161366,0.432417868161323,0.257386514369756,0.427253577015009,0.331882115431355,0.777771659403584,0.791867910480178,1.47602685075788,2.31270867497282,2.42225851588658,3.90687239769964,4.3446567422549,2.93871957407947,0.408135941605266,2.5911906622275,2.3112790399789,2.60844600235177,1.05644918369524,0.747467836955721,1.41112235803458,0.54802506058644,0.746042357363578,1.06060211108982,5.06966974514988,2.91655279929,3.00244435426389,3.03791969366756,4.2201878638128,4.22303517608285,4.32089444442138,4.24935645885296,3.4315479146148,4.5862987577185,3.22500652744262,3.38883254946995,3.31409743830015,3.12614421933182,2.38402255027515,1.4690009639623,0.079407904133433,-0.401924222596861,-0.671773144296537,-0.959146237125211,-1.33389671879658,-1.96429607389558,-2.48886333032814,-2.51801406967913,-1.95304544382516,-1.67715800243712,-0.865192568088915,-0.776189418084058,-0.281263890493719,0.186411563576002,0.515094514829428,1.51072175465825,2.21233074229252,2.42034287160267,2.24295345448724,2.48804198059413,2.18409895945683,2.03226584751994,2.13892185347622,2.11135507235853
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0.032427064510671,0.064864644166491,0.097312742377184,0.129771362553612,0.162240508107757,0.194720182452656,0.227210389002536,0.259711131172651,0.29222241237936,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.324744236040232,0.32474423604026,0.7237626013072,1.124367969432,1.52656665234994,1.93036498710046,2.33576933592714,2.74278608637786,3.15142165140558,3.56168246946925,3.97357500463519,4.3871057466792,4.3871057466792,4.3871057466792,4.3871057466792,4.3871057466792,4.3871057466792,4.3871057466792,4.3871057466792,4.3871057466792,4.3871057466792,4.3871057466792,4.3871057466792,4.3871057466792,4.3871057466792,4.3871057466792,4.3871057466792,4.3871057466792,4.3871057466792,4.3871057466792,4.3871057466792,4.3871057466792,4.3871057466792,4.3871057466792,4.3871057466792,4.3871057466792,4.3871057466792,4.3871057466792,4.38710574667922,4.09442938740285,3.80257362230489,3.5115361506365,3.22131467809956,2.93190691682852,2.64331058537259,2.3555234086776,2.06854311806796,1.78236745122906,1.49699415218916,1.49699415218913,1.49699415218913,1.49699415218913,1.49699415218913,1.49699415218913,1.49699415218916,1.49699415218913,1.49699415218913,1.49699415218916,1.49699415218913,1.49699415218913,1.49699415218913,1.49699415218916,1.36616655298469,1.23550758794381,1.10501703970041,0.974694691168622,0.844540325542368,0.714553726295051,0.584734677179142,0.455082962225902,0.325598365744881,0.196280672323695,0.196280672323709,0.196280672323709,0.196280672323709,0.196280672323709,0.196280672323709,0.196280672323709,0.196280672323695,0.340428374002059,0.484783454235412,0.629346211369565,0.774116944179497,0.91909595187019,1.06428353407692,1.20967999086608,1.35528562273576,1.5011007306164,1.6471256158713,1.6471256158713,2.02179472093336,2.39784484820763,2.77528108811218,3.15410854982812,4.65503318153395,6.17779673736729,,,,
Andorra,0.165947699164562,0.165947699164562,0.165947699164562,0.165947699164562,0.165947699164562,0.165947699164562,0.165947699164562,0.165947699164562,0.165947699164562,0.165947699164562,0.165947699164562,0.266291040162997,0.366734902209913,0.46727938600435,0.567924592346273,0.668670622136602,0.769517576377311,0.870465556171652,0.971514662724047,1.07266499734038,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142794,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142794,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142794,1.17391666142797,1.17391666142797,1.17391666142797,1.17391666142805,1.43388745770112,1.69452626028593,1.95583478565389,2.2178147546869,2.48046789268881,2.74379592939668,3.00780059899215,3.27248364011301,3.53784679586451,3.8038918138308,3.8038918138308,3.8038918138308,3.80389181383083,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.8038918138308,3.80389181383079,3.35451019992917,3.25012763400623,3.13330595126394,2.83801320941039,2.08045981186376,1.64591901797633,1.20277769669713,0.630366196529494,-0.11826230038676,-0.701976751548699,-1.1467826098027,-1.82213585985875,-2.42244093160389,-2.78489323398588,-2.56318742731364,-2.45182397694911,-2.03211140137475,-1.49959050152799,-0.859923541248378,-0.568486889774817,-0.208840887788568,-0.176645114814718,-0.404044128847275,-0.285537930489511,-0.159005745058892,0.084577732322416,0.543937720762173,0.51984440811043,0.640002733255812,0.599053362053567,1.71344979382108,2.46164630756314,3.48135180914142,4.07943559698334,4.52122862586559,4.44716003664092,3.41247283916857,2.48532418564405,1.42014827739298,0.88456533800337,-0.510867192480831
Angola,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218661,0.425302812218661,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218661,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218661,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218689,0.425302812218405,0.67580501791565,0.926932079633232,1.17868555602034,1.431067009614,1.68407800684885,1.93772011806692,2.19199491752728,2.44690398341586,2.70244889785528,2.95863124691481,2.95863124691481,2.95863124691481,2.95863124691481,2.95863124691481,2.95863124691481,2.95863124691481,2.95863124691481,2.95863124691481,2.95863124691481,2.95863124691481,2.95863124691481,2.95863124691481,2.95863124691481,2.95863124691481,2.95863124691481,2.95863124691481,2.95863124691481,2.95863124691481,2.95863124691481,2.95863124691481,2.95863124691481,2.95863124691481,2.95863124691481,2.95863124691481,2.95863124691481,2.95863124691481,2.95863124691473,2.89416309336488,2.82981053068138,2.75590829006663,2.02742404235823,2.36456478789144,1.71925453205786,2.19328922395086,2.25849575514212,1.83500849830824,1.76545135104614,2.63689432918363,1.94680874794551,2.06184703364889,3.4119888245623,3.34384189085914,4.10777701129031,3.73354705390815,3.03106217692579,3.27633826367027,3.50134280735229,2.77823042872245,3.03202939464191,3.25870182912016,2.41226550898766,1.06830458289421,-0.126856879010433,-0.709807280795744,-1.20054400374438,-1.57294949852081,-2.05221499033995,-3.19294794896021,-3.34716534284148,-3.8295707429117,-3.66591063308176,-2.8950916125323,-2.08865545075253,-1.4884047613799,-0.381628029639131,-0.334618731101415,-0.60777990186493,-0.023514471873952,-0.587632687644046,-3.6450391790578,-4.05789306538192,-3.03320674283447,-1.56089994894408,-1.71411393241019,-2.26739595173088,-2.01808002343782,-1.70788970277536,-1.52318391321118,0.403737100905815,3.51031389836845,4.4535525596046,4.91754582158049,4.76498918510573,6.37049832172624,7.73292941234294,7.64123961106256,7.71106172573906,7.84021288221001
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0.065882592105254,0.131808589369896,0.19777802039043,0.263790913782131,0.329847298179089,0.395947202234353,0.4620906546198,0.528277684026165,0.594508319163168,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759389,0.838372411910953,1.01627554620988,1.1944925444124,1.37302396024982,1.55187034843051,1.7310322646414,1.9105102655498,2.09030490880508,2.27041675304054,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787487,2.45084635787489,2.45084635787489,2.45084635787487,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787487,2.45084635787489,2.45084635787482,1.81173785751069,2.55297952907878,2.61063423875956,2.25403963050374,2.28499896136429,2.15815849612402,1.90754674876474,2.3807292730818,3.06027196001557,3.293199875623,4.0599411461983,2.92897141758411,2.57866023311773,3.00041012916201,3.57277504876117,4.48122213618896,5.19367733246163,5.40109244700227,4.99365302675928,4.60083619751805,3.68800912846589,4.24318966274116,4.76744215325937,5.01310183060025,3.68406314098779,2.71668413337609,2.88725649403267,2.80123897506874,2.47922927960229,2.34435476311863,2.96221627966608,2.2108064635002,1.82338513064262,3.09418160690626,4.21676215864227,5.77429554095662,5.91298141239301,4.66892050826632,2.14849061451557,1.59635305459189,1.72360189610379
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0.065882592105254,0.131808589369896,0.19777802039043,0.263790913782131,0.329847298179089,0.395947202234368,0.4620906546198,0.528277684026193,0.594508319163168,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759346,0.660782588759389,0.838372411910982,1.01627554620991,1.1944925444124,1.37302396024982,1.55187034843051,1.7310322646414,1.9105102655498,2.09030490880511,2.27041675304056,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787487,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787489,2.45084635787482,2.6833280261545,2.90837838713914,3.26856456806954,3.19289832956906,2.27691850978556,1.08230006968093,1.63678559260698,1.88567982231289,2.85110601235674,3.42854794056298,3.57863510973024,3.26057153841587,3.44784974502741,4.15272152468825,5.7905542579134,7.8686207053301,8.17070907328048,8.68021220423907,8.18341528444819,7.66095756101777,7.16563647708735,6.93345228317826,6.43268043310543,5.91410195904139,4.23633467608168,3.58162068112504,2.71730795650068,1.92338499803775,1.3547338169692,0.96386350305599,0.83513761998806,0.980627014055429,1.03789032301074,1.24005339650432,2.26778591476564,2.97205961074003,3.31381478665259,3.16621993361821,1.72550762158255,0.891827950249208,0.563430933649428
